University,Country,Score,League
Feng Chia University,Taiwan,30.155,World League
Athens University of Economics and Business,Greece,30.051,World League
Alzahra University,Iran,29.992,World League
Tyumen State University,Russia,29.947,World League
Perm National Research Polytechnic University,Russia,29.937,World League
University of Sarajevo,Bosnia And Herzegovina,29.854,World League
Saint Petersburg State University of Architecture and Civil Engineering,Russia,29.828,World League
University of Anbar,Iraq,29.73,World League
Tamkang University,Taiwan,29.665,World League
National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan,29.551,World League
Leeds Beckett University,UK,29.52,World League
Omsk State Technical University,Russia,29.427,World League
Southwest State University,Russia,29.415,World League
Mordovia State University,Russia,28.983,World League
"``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures",Romania,28.812,World League
Hunan Normal University,China,28.716,World League
Ural State University of Economics,Russia,28.447,World League
Ataturk University,Türkiye,28.297,World League
"California State University, Long Beach",USA,28.266,World League
Beni-Suef University,Egypt,28.257,World League
Omsk State University,Russia,28.198,World League
Ninevah University,Iraq,28.076,World League
Reshetnev Siberian State University of Science and Technology,Russia,28.052,World League
University of AL-Qadisiyah,Iraq,27.818,World League
South Ural State University,Russia,27.538,World League
Tver State University,Russia,27.471,World League
University of South China,China,27.433,World League
Wenzhou University,China,27.237,World League
Democritus University of Thrace,Greece,27.207,World League
Volgograd State University,Russia,27.202,World League
Shanghai Maritime University,China,27.144,World League
Kosygin University,Russia,26.969,World League
Maikop State Technological University,Russia,26.918,World League
Samara State Technical University,Russia,26.522,World League
Russian Biotechnological University,Russia,26.46,World League
University of Babylon,Iraq,26.219,World League
Ostrogradskiy National University of Kremenchuk,Ukraine,26.138,World League
University of Mosul,Iraq,26.092,World League
King Mongkut`s University of Technology North Bangkok,Thailand,25.924,World League
Al-Iraqia University,Iraq,25.758,World League
Polzunov Altai State Technical University,Russia,25.44,World League
Azerbaijan State University of Economics (UNEC),Azerbaijan,25.027,World League
Tambov State Technical University,Russia,24.888,World League
Tanta University,Egypt,24.826,World League
University of Information Technology and Communications,Iraq,24.715,World League
I-Shou University,Taiwan,24.691,World League
Chung Hua University,Taiwan,24.688,World League
Kabardino-Balkarian State University,Russia,24.484,World League
University of Diyala,Iraq,25.207,World League
Technical University of Cluj-Napoca,Romania,24.464,World League
Mahasarakham University,Thailand,24.359,World League
University of Fallujah,Iraq,24.289,World League
Don State Technical University,Russia,24.207,World League
Southwest Petroleum University,China,24.179,World League
Ubon Ratchathani University,Thailand,24.161,World League
Lipetsk State Technical University,Russia,24.137,World League
Azerbaijan University of Architecture and Construction,Azerbaijan,24.066,World League
Middle Technical University,Iraq,23.76,World League
Ufa State Petroleum Technological University (USPTU),Russia,23.755,World League
Vladimir State University named after Alexander and Nikolay Stoletovs,Russia,23.739,World League
Soochow University (Taiwan),Taiwan,23.51,World League
European University Skopje,North Macedonia,23.304,World League
Chaoyang University of Technology,Taiwan,23.164,World League
Al-Ahliyya Amman University,Jordan,23.042,World League
Voronezh State Technical University,Russia,22.845,World League
University of Dubrovnik,Croatia,22.682,World League
North Caucasus Federal University,Russia,22.598,World League
Tunghai University,Taiwan,22.487,World League
Kafrelsheikh University,Egypt,22.48,World League
Tomsk State University of Architecture and Building,Russia,22.47,World League
University of Kerbala,Iraq,22.449,World League
ESIC Business and Marketing School,Spain,22.404,World League
Volgograd State Technical University,Russia,22.355,World League
National Chiayi University,Taiwan,21.782,World League
Istanbul Gelisim University,Türkiye,21.67,World League
University of Thi-Qar,Iraq,21.494,World League
Istanbul Medipol University,Türkiye,21.479,World League
Emperor Alexander I St.Petersburg State Transport University,Russia,20.328,World League
Ming Chuan University,Taiwan,20.324,World League
Novosibirsk State University of Economics and Management,Russia,19.885,World League
Al-Mustaqbal University College,Iraq,19.876,World League
Al-Kitab University,Iraq,19.664,World League
Kemerovo State University,Russia,19.616,World League
Al-Nisour University College,Iraq,19.598,World League
NED University of Engineering and Technology,Pakistan,19.453,World League
University of Petra (UOP),Jordan,19.447,World League
Ulyanovsk State University,Russia,19.373,World League
Poltava National Technical Yuri Kondratyuk University,Ukraine,18.86,World League
Tatung University,Taiwan,18.844,World League
Pacific National University,Russia,18.746,World League
Islamic University in Najaf,Iraq,18.556,World League
Interdisciplinary Center Herzliya (IDC Herzliya),Israel,18.473,World League
Tra Vinh University,Vietnam,18.372,World League
Mari State University,Russia,18.347,World League
Al-Furat Al-Awsat Technical  University,Iraq,18.118,World League
Togliatti State University,Russia,18.053,World League
EA Buketov Karaganda State University,Kazakhstan,17.835,World League
Can Tho University,Vietnam,17.649,World League
Vyatka State University,Russia,17.298,World League
National Formosa University,Taiwan,17.17,World League
Al-Muthanna University,Iraq,17.121,World League
Northern Technical University,Iraq,16.739,World League
Belgorod State Technological University,Russia,16.548,World League
Al-Karkh University of Science,Iraq,16.289,World League
Platov South-Russian State Polytechnic University,Russia,15.567,World League
Jabir Ibn Hayyan Medical University,Iraq,15.361,World League
Behalf of Basrah University College of Science and Technology,Iraq,15.229,World League
University of Kirkuk,Iraq,15.102,World League
Arab American University (AAUP),State of Palestine,14.688,World League
Savannah College of Art and Design,USA,14.424,World League
University of Samarra,Iraq,14.232,World League
Kozma Minin Nizhny Novgorod State Pedagogical University,Russia,13.941,World League
Southern Technical University,Iraq,12.485,World League
University of the Thai Chamber of Commerce,Thailand,12.468,World League
Baghdad College Of Economic Sciences University,Iraq,12.227,World League
Rostov State University of Economics,Russia,11.781,World League
Dijlah University College,Iraq,9.716,World League
University of Warith Alanbiyaa,Iraq,9.706,World League
Al-Safwa University College,Iraq,9.174,World League
Madenat Al-elem University College,Iraq,9.174,World League
Altoosi University College,Iraq,8.683,World League
Al-Ayen University,Iraq,8.589,World League
National University for Science and Technology,Iraq,8.34,World League
Imam Ja`afar Al-Sadiq University,Iraq,8.331,World League
Al-Amarah University College,Iraq,8.288,World League
University of Alkafeel,Iraq,8.063,World League
Murmansk Arctic State University,Russia,7.888,World League
University of Al-Hamdaniya,Iraq,7.775,World League
Al-Zahrawi University College,Iraq,7.775,World League
University of Sumer,Iraq,7.132,World League
Al-Manara College of Medical Sciences,Iraq,6.749,World League
Karaganda University of Kaspotrebsoyuz,Kazakhstan,6.506,World League
Bilad Alrafidain University College,Iraq,5.76,World League
Al-Farahidi University,Iraq,4.834,World League
Al-Kut University College,Iraq,4.721,World League
Al-Rasheed University College,Iraq,4.568,World League
Al-Esraa University College,Iraq,5.53,World League
Imam Al-Kadhum College,Iraq,2.933,World League
